station_name,station_latitude,station_longitude,facility_id,facility_name,registered_business_name,suburb,state,postcode,facility_latitude,facility_longitude,primary_anzsic_class_name,main_activities,distance_km,within_5km,within_10km,within_5_to_10km
Civic,-35.285,149.132,482606,Fyshwick Depot t/as Caltex Energy NSW,CALTEX PETROLEUM SERVICES PTY LTD,Fyshwick,ACT,2609.0,-35.331,149.177,Petroleum Product Wholesaling,PETROLEUM PRODUCT WHOLESALING,6.531,0,1,1
Civic,-35.285,149.132,482752,STERICORP,STERICORP LIMITED,Canberra,ACT,2911.0,-35.222,149.141,Waste Treatment and Disposal Services,INCINERATION OF BIO-MEDICAL WASTE AND ELECTRO-THERMAL DEACTIVATION OF CLINICAL AND RELATED WASTE EXCLUDING CYTOTOXIC AND ANOTOMICAL WASTE,7.043,0,1,1
Civic,-35.285,149.132,482768,CAPITAL LINEN SERVICE,TRANSPORT CANBERRA AND CITY SERVICES DIRECTORATE,Canberra,ACT,2911.0,-35.222,149.141,Laundry and Dry-Cleaning Services,"PROVIDES LINEN RENTAL AND LAUNDERING SERVICES TO A WIDE RANGE OF CLIENTS IN THE ACT REGION INCLUDING HOSPITALS, HOTELS AND RESTAURANTS",7.11,0,1,1
Civic,-35.285,149.132,482694,Canberra Bakery,QUALITY BAKERS AUSTRALIA PTY LIMITED,Fyshwick,ACT,2609.0,-35.334,149.184,Bread Manufacturing (Factory based),"Bakeries - bread, bread rolls",7.212,0,1,1
Civic,-35.285,149.132,482866,THE CANBERRA HOSPITAL,HEALTH DIRECTORATE,Canberra,ACT,2605.0,-35.345,149.101,Hospitals (Except Psychiatric Hospitals),"PRINCIPLE 550 BED HOSPITAL FOR THE ACT, INCLUDES PATHOLOGY LABORATORY, CLINICAL SCHOOL TEACHING FACILITY, MENTAL HEALTH FACILITIES",7.216,0,1,1
Civic,-35.285,149.132,482970,THE CANBERRA HOSPITAL,ACT HEALTH,Canberra,ACT,2605.0,-35.347,149.102,Hospitals (Except Psychiatric Hospitals),"PRINCIPLE 500 BED HOSPITAL FOR THE ACT, INCLUDES PATHOLOGY LABORATORY. CLINICAL TEACHING SCHOOL FACILITY, MENTAL HEALTH FACILITIES",7.317,0,1,1
Civic,-35.285,149.132,483242,Command and Staff College,DEPARTMENT OF DEFENCE,Weston Creek,ACT,2611.0,-35.319,149.058,Defence,Education establishment,7.716,0,1,1
Civic,-35.285,149.132,584386,SUPAGAS Canberra,RENEGADE GAS PTY LTD,Mitchell,ACT,2911.0,-35.21,149.135,Gas Supply,"Import, handling, and distribution of LPG",8.352,0,1,1
Civic,-35.285,149.132,602274,Canberra Meter Station,APT MANAGEMENT SERVICES PTY LIMITED,Gungahlin,ACT,2912.0,-35.215,149.18,Gas Supply,Metering Gas Flow to Canberra,8.952,0,1,1
Civic,-35.285,149.132,554018,HMAS Harman,DEPARTMENT OF DEFENCE,Harman,ACT,2600.0,-35.346,149.199,Defence,Education Establishment,9.046,0,1,1
Civic,-35.285,149.132,580540,Boral Mugga Lane Quarry,BORAL RESOURCES (COUNTRY) PTY LTD,Symonston,ACT,2609.0,-35.367,149.137,Other Construction Material Mining,"Land based extractive industry; Crushing, Grinding and Separating.",9.07,0,1,1
Civic,-35.285,149.132,483040,Boral Mugga asphalt,BITUPAVE LTD,Symonston,ACT,2609.0,-35.369,149.132,Other Petroleum and Coal Product Manufacturing,Land-based extractive activity,9.292,0,1,1
Civic,-35.285,149.132,482704,QUEANBEYAN SEWAGE TREATMENT PLANT,QUEANBEYAN CITY COUNCIL,Canberra,ACT,2620.0,-35.334,149.218,Sewerage and Drainage Services,PROCESSING OF RAW SEWAGE,9.536,0,1,1
Florey,-35.221,149.044,482808,Belconnen Landfill Operations Contract,THIESS SERVICES PTY LTD,Canberra,ACT,2603.0,-35.216,149.001,Waste Treatment and Disposal Services,Disposal of muncipal & some special waste,3.911,1,1,0
Florey,-35.221,149.044,482978,UNIVERSITY OF CANBERRA,UNIVERSITY OF CANBERRA,Canberra University Lpo,ACT,2617.0,-35.241,149.089,Higher Education,EDUCATION,4.767,1,1,0
Florey,-35.221,149.044,692416,West Belconnen Flare,LGI LIMITED,West Belconnen,ACT,2617.0,-35.214,148.987,Waste Treatment and Disposal Services,Flaring/Combustion of Landfill Gas,5.183,0,1,1
Florey,-35.221,149.044,483006,PACE PTY LTD PARKWOOD,PACE FARM PTY LTD,Canberra,ACT,2615.0,-35.204,148.989,Poultry Farming (Eggs),INTENSIVE LIVESTOCK RAISING - POULTRY EGGS,5.293,0,1,1
Florey,-35.221,149.044,482906,West Belconnen,EDL LFG (ACT) P/L,Macgregor,ACT,2615.0,-35.213,148.984,Other Electricity Generation,,5.488,0,1,1
Florey,-35.221,149.044,482872,CALVARY HEALTH CARE ACT LIMITED,CALVARY HEALTH CARE ACT LTD,Bruce,ACT,2617.0,-35.253,149.09,Hospitals (Except Psychiatric Hospitals),HEALTHCARE FACILITY (HOSPITAL),5.505,0,1,1
Florey,-35.221,149.044,483002,LOWER MOLONGLO WATER QUALITY CONTROL CENTRE - INCINERATOR,ACTEW CORPORATION LTD,Holt,ACT,2615.0,-35.247,148.974,Waste Treatment and Disposal Services,INCINERATION OF SEWAGE SLUDGE,6.932,0,1,1
Florey,-35.221,149.044,482744,LMWQCC - Incinerator,ACTEWAGL,Holt,ACT,2615.0,-35.249,148.974,Waste Treatment and Disposal Services,Incineration of sewage sludge,7.053,0,1,1
Florey,-35.221,149.044,482636,LOWER MOLONGLO WATER QUALITY CONTROL CENTRE,ICON WATER LIMITED,Holt,ACT,2615.0,-35.247,148.971,Sewerage and Drainage Services,SEWAGE TREATMENT WORKS,7.181,0,1,1
Florey,-35.221,149.044,584386,SUPAGAS Canberra,RENEGADE GAS PTY LTD,Mitchell,ACT,2911.0,-35.21,149.135,Gas Supply,"Import, handling, and distribution of LPG",8.422,0,1,1
Florey,-35.221,149.044,548264,Coffman & Lawson Wine Co Pty Ltd,COOPER COFFMAN WINE COMPANY PTY LTD,Lyneham,ACT,2602.0,-35.233,149.137,Wine and Other Alcoholic Beverage Manufacturing,Wine Production & Contract Bottling,8.64,0,1,1
Florey,-35.221,149.044,482944,KAMBERRA WINE & TOURISM COMPLEX,HARDY WINE CO LTD,Lyneham,ACT,2602.0,-35.233,149.137,Wine and Other Alcoholic Beverage Manufacturing,WINEMAKING,8.64,0,1,1
Florey,-35.221,149.044,482990,BLACK MOUNTAIN,CSIRO,Acton,ACT,2601.0,-35.275,149.112,Scientific Research Services,"SCIENTIFIC AND INDUSTRIAL RESEARCH FACILITIES SPECIALISING IN PLANT RESEARCH, ENTMOLOGY, LAND AND WATER SCIENCES, ATMOSPHERIC RESEARCH AND EDUCATION.",8.678,0,1,1
Florey,-35.221,149.044,482768,CAPITAL LINEN SERVICE,TRANSPORT CANBERRA AND CITY SERVICES DIRECTORATE,Canberra,ACT,2911.0,-35.222,149.141,Laundry and Dry-Cleaning Services,"PROVIDES LINEN RENTAL AND LAUNDERING SERVICES TO A WIDE RANGE OF CLIENTS IN THE ACT REGION INCLUDING HOSPITALS, HOTELS AND RESTAURANTS",8.836,0,1,1
Florey,-35.221,149.044,482752,STERICORP,STERICORP LIMITED,Canberra,ACT,2911.0,-35.222,149.141,Waste Treatment and Disposal Services,INCINERATION OF BIO-MEDICAL WASTE AND ELECTRO-THERMAL DEACTIVATION OF CLINICAL AND RELATED WASTE EXCLUDING CYTOTOXIC AND ANOTOMICAL WASTE,8.866,0,1,1
Florey,-35.221,149.044,482958,AUSTRALIAN NATIONAL UNIVERSITY,AUSTRALIAN NATIONAL UNIVERSITY,Acton,ACT,2601.0,-35.283,149.117,Higher Education,TERTIARY EDUCATION AND RESEARCH,9.62,0,1,1
Monash,-35.418,149.094,482830,INTEGRATED FOREST PRODUCTS (Receivers & Managers Appointed),INTEGRATED FOREST PRODUCTS P/L,Hume,ACT,2620.0,-35.405,149.149,Log Sawmilling,TIMBER PROCESSING PLANT (BUILDING GRADE),5.158,0,1,1
Monash,-35.418,149.094,482890,Mugga Lane,LGI LTD,Symonston,ACT,2609.0,-35.392,149.142,Other Electricity Generation,Landfill Gas extraction and Power Generation,5.254,0,1,1
Monash,-35.418,149.094,683606,Mugga Lane LGI Power Station,LGI LIMITED,Jerrabomberra,ACT,2619.0,-35.395,149.145,Other Electricity Generation,Electricity generation,5.329,0,1,1
Monash,-35.418,149.094,482802,MUGGA LANE LANDFILL,TRANSPORT CANBERRA AND CITY SERVICES DIRECTORATE,Canberra,ACT,2603.0,-35.384,149.136,Waste Treatment and Disposal Services,Disposal of municipal & some special wastes,5.348,0,1,1
Monash,-35.418,149.094,482788,"KOPPERS, HUME",KOPPERS WOOD PRODUCTS PTY LTD,Hume,ACT,2620.0,-35.407,149.153,Reconstituted Wood Product Manufacturing,"PRCESSING OF SAWN AND ROUND SOFTWOOD FOR TIMBER PROTECTION. 1. TIMBER TRUCKED IN FROM BUSH OPERATIONS, SAWMILLS AND CUSTOMERS. 2. TIMBER DEBARKED AND PEELED AS REQUIRED. 3. AIR DRIED AND MACHINED PRIOR TO TREATMENT. 4. PRESSURE IMPREGNATED WITH CCA. 5. D",5.445,0,1,1
Monash,-35.418,149.094,483040,Boral Mugga asphalt,BITUPAVE LTD,Symonston,ACT,2609.0,-35.369,149.132,Other Petroleum and Coal Product Manufacturing,Land-based extractive activity,6.503,0,1,1
Monash,-35.418,149.094,586396,Hume Asphalt Plant,DOWNER EDI WORKS PTY LTD,Hume,ACT,2620.0,-35.4,149.163,Other Petroleum and Coal Product Manufacturing,Asphalt Production and Spray Seal Operations,6.555,0,1,1
Monash,-35.418,149.094,580540,Boral Mugga Lane Quarry,BORAL RESOURCES (COUNTRY) PTY LTD,Symonston,ACT,2609.0,-35.367,149.137,Other Construction Material Mining,"Land based extractive industry; Crushing, Grinding and Separating.",6.907,0,1,1
Monash,-35.418,149.094,482970,THE CANBERRA HOSPITAL,ACT HEALTH,Canberra,ACT,2605.0,-35.347,149.102,Hospitals (Except Psychiatric Hospitals),"PRINCIPLE 500 BED HOSPITAL FOR THE ACT, INCLUDES PATHOLOGY LABORATORY. CLINICAL TEACHING SCHOOL FACILITY, MENTAL HEALTH FACILITIES",8.013,0,1,1
Monash,-35.418,149.094,482866,THE CANBERRA HOSPITAL,HEALTH DIRECTORATE,Canberra,ACT,2605.0,-35.345,149.101,Hospitals (Except Psychiatric Hospitals),"PRINCIPLE 550 BED HOSPITAL FOR THE ACT, INCLUDES PATHOLOGY LABORATORY, CLINICAL SCHOOL TEACHING FACILITY, MENTAL HEALTH FACILITIES",8.145,0,1,1
