facility_id,registered_business_name,facility_name,suburb,state,postcode,latitude,longitude,primary_anzsic_class_name,main_activities,first_report_year,latest_report_year
482830,INTEGRATED FOREST PRODUCTS P/L,INTEGRATED FOREST PRODUCTS (Receivers & Managers Appointed),Hume,ACT,2620.0,-35.405,149.149,Log Sawmilling,TIMBER PROCESSING PLANT (BUILDING GRADE),,
483048,JOINT HOUSE DEPARTMENT,Parliament House,Capital Hill,ACT,2600.0,-35.308,149.124,Central Government Administration,Australian Federal Parliament,,
482788,KOPPERS WOOD PRODUCTS PTY LTD,"KOPPERS, HUME",Hume,ACT,2620.0,-35.407,149.153,Reconstituted Wood Product Manufacturing,"PRCESSING OF SAWN AND ROUND SOFTWOOD FOR TIMBER PROTECTION. 1. TIMBER TRUCKED IN FROM BUSH OPERATIONS, SAWMILLS AND CUSTOMERS. 2. TIMBER DEBARKED AND PEELED AS REQUIRED. 3. AIR DRIED AND MACHINED PRIOR TO TREATMENT. 4. PRESSURE IMPREGNATED WITH CCA. 5. D",,
683606,LGI LIMITED,Mugga Lane LGI Power Station,Jerrabomberra,ACT,2619.0,-35.395,149.145,Other Electricity Generation,Electricity generation,,
692416,LGI LIMITED,West Belconnen Flare,West Belconnen,ACT,2617.0,-35.214,148.987,Waste Treatment and Disposal Services,Flaring/Combustion of Landfill Gas,,
482890,LGI LTD,Mugga Lane,Symonston,ACT,2609.0,-35.392,149.142,Other Electricity Generation,Landfill Gas extraction and Power Generation,,
483030,MOBIL OIL AUST PTY LTDL,CANBERRA AIRPORT,Pialligo,ACT,2609.0,-35.303,149.19,Petroleum Product Wholesaling,PETROLEUM PRODUCT STORAGE AND WHOLESALING,,
483006,PACE FARM PTY LTD,PACE PTY LTD PARKWOOD,Canberra,ACT,2615.0,-35.204,148.989,Poultry Farming (Eggs),INTENSIVE LIVESTOCK RAISING - POULTRY EGGS,,
482694,QUALITY BAKERS AUSTRALIA PTY LIMITED,Canberra Bakery,Fyshwick,ACT,2609.0,-35.334,149.184,Bread Manufacturing (Factory based),"Bakeries - bread, bread rolls",,
482704,QUEANBEYAN CITY COUNCIL,QUEANBEYAN SEWAGE TREATMENT PLANT,Canberra,ACT,2620.0,-35.334,149.218,Sewerage and Drainage Services,PROCESSING OF RAW SEWAGE,,
483044,RAIL CORPORATION NEW SOUTH WALES,Sydney Trains Canberra Refuelling Facility,Kingston,ACT,2604.0,-35.319,149.156,Railway Rolling Stock Manufacturing and Repair Services,Rollingstock refuelling,,
584386,RENEGADE GAS PTY LTD,SUPAGAS Canberra,Mitchell,ACT,2911.0,-35.21,149.135,Gas Supply,"Import, handling, and distribution of LPG",,
482936,ROYAL AUSTRALIAN MINT,ROYAL AUSTRALIAN MINT,Deakin,ACT,2600.0,-35.316,149.096,Jewellery and Silverware Manufacturing,"Manufacturing Australian circulating currency, collector coins and medallions.",,
482822,RURAL PRESS PTY LTD,THE CANBERRA TIMES,Canberra,ACT,2609.0,-35.326,149.169,Newspaper Publishing,Newspaper production,,
482752,STERICORP LIMITED,STERICORP,Canberra,ACT,2911.0,-35.222,149.141,Waste Treatment and Disposal Services,INCINERATION OF BIO-MEDICAL WASTE AND ELECTRO-THERMAL DEACTIVATION OF CLINICAL AND RELATED WASTE EXCLUDING CYTOTOXIC AND ANOTOMICAL WASTE,,
482922,THE SHELL CO OF AUST LTD,ADVANTAGE PETROLEUM,Fyshwick,ACT,2609.0,-35.305,149.187,Petroleum Product Wholesaling,AIRCRAFT REFUELIING,,
482724,THE SHELL COMPANY OF AUSTRALIA LTD,Shell Fyshwick Depot,Fyshwick,ACT,2609.0,-35.328,149.166,Petroleum Product Wholesaling,HYDROCARBON STORAGE AND DISTRIBUTION,,
482808,THIESS SERVICES PTY LTD,Belconnen Landfill Operations Contract,Canberra,ACT,2603.0,-35.216,149.001,Waste Treatment and Disposal Services,Disposal of muncipal & some special waste,,
482768,TRANSPORT CANBERRA AND CITY SERVICES DIRECTORATE,CAPITAL LINEN SERVICE,Canberra,ACT,2911.0,-35.222,149.141,Laundry and Dry-Cleaning Services,"PROVIDES LINEN RENTAL AND LAUNDERING SERVICES TO A WIDE RANGE OF CLIENTS IN THE ACT REGION INCLUDING HOSPITALS, HOTELS AND RESTAURANTS",,
482802,TRANSPORT CANBERRA AND CITY SERVICES DIRECTORATE,MUGGA LANE LANDFILL,Canberra,ACT,2603.0,-35.384,149.136,Waste Treatment and Disposal Services,Disposal of municipal & some special wastes,,
482978,UNIVERSITY OF CANBERRA,UNIVERSITY OF CANBERRA,Canberra University Lpo,ACT,2617.0,-35.241,149.089,Higher Education,EDUCATION,,
482656,WESTOIL PETROLEUM P/L,CANBERRA DEPOT,Fyshwick,ACT,2609.0,-35.305,149.187,Petroleum Product Wholesaling,PETROLEUM STORAGE AND WHOLESALING,,
